chr1	121500000	125000000	p11.1	249250621
chr1	125000000	128900000	q11	249250621
chr10	38000000	40200000	p11.1	135534747
chr10	40200000	42300000	q11.1	135534747
chr11	51600000	53700000	p11.11	135006516
chr11	53700000	55700000	q11	135006516
chr12	33300000	35800000	p11.1	133851895
chr12	35800000	38200000	q11	133851895
chr13	16300000	17900000	p11.1	115169878
chr13	17900000	19500000	q11	115169878
chr14	16100000	17600000	p11.1	107349540
chr14	17600000	19100000	q11.1	107349540
chr15	15800000	19000000	p11.1	102531392
chr15	19000000	20700000	q11.1	102531392
chr16	34600000	36600000	p11.1	90354753
chr16	36600000	38600000	q11.1	90354753
chr17	22200000	24000000	p11.1	81195210
chr17	24000000	25800000	q11.1	81195210
chr18	15400000	17200000	p11.1	78077248
chr18	17200000	19000000	q11.1	78077248
chr19	24400000	26500000	p11	59128983
chr19	26500000	28600000	q11	59128983
chr2	90500000	93300000	p11.1	243199373
chr2	93300000	96800000	q11.1	243199373
chr20	25600000	27500000	p11.1	63025520
chr20	27500000	29400000	q11.1	63025520
chr21	10900000	13200000	p11.1	48129895
chr21	13200000	14300000	q11.1	48129895
chr22	12200000	14700000	p11.1	51304566
chr22	14700000	17900000	q11.1	51304566
chr3	87900000	91000000	p11.1	198022430
chr3	91000000	93900000	q11.1	198022430
chr4	48200000	50400000	p11	191154276
chr4	50400000	52700000	q11	191154276
chr5	46100000	48400000	p11	180915260
chr5	48400000	50700000	q11.1	180915260
chr6	58700000	61000000	p11.1	171115067
chr6	61000000	63300000	q11.1	171115067
chr7	58000000	59900000	p11.1	159138663
chr7	59900000	61700000	q11.1	159138663
chr8	43100000	45600000	p11.1	146364022
chr8	45600000	48100000	q11.1	146364022
chr9	47300000	49000000	p11.1	141213431
chr9	49000000	50700000	q11	141213431
chrX	58100000	60600000	p11.1	155270560
chrX	60600000	63000000	q11.1	155270560
chrY	11600000	12500000	p11.1	59373566
chrY	12500000	13400000	q11.1	59373566
