##gender of sample: M
##number of iterations: 1 , quality used at final iteration: 20
##was it outlier after clustering? FALSE
##fraction of outliers: 0.048
#chr	start	end	CN_change	loglikelihood	no_of_regions	length_KB	potential_AF	genes	qvalue
chr1	187600000	188080120	3	93	25	480.120	0.020	na	0.00000
chr1	214980000	215100120	3	21	7	120.120	0.040	na	0.00019
chr10	12020000	12160120	1	57	8	140.120	0.020	na	0.00000
chr15	35740000	35960120	3	57	12	220.120	0.020	na	0.00000
chr15	39620000	39780120	3	38	9	160.120	0.020	na	0.00000
chr15	79940000	80000120	1	22	4	 60.120	0.020	na	0.00000
chr2	155860000	156080120	1	51	12	220.120	0.020	na	0.00000
chr21	31920000	32200120	1	96	15	280.120	0.020	na	0.00000
chr22	45180000	45260120	1	21	5	 80.120	0.020	na	0.00000
chr3	168500000	168600120	1	25	6	100.120	0.040	na	0.00000
chr4	4620000	4960120	1	109	18	340.120	0.020	na	0.00000
chr5	61240000	61600120	3	61	19	360.120	0.020	na	0.00000
chr6	108920000	109000120	1	22	5	 80.120	0.040	na	0.00005
chr9	126040000	126660120	1	233	32	620.120	0.020	na	0.00000
chr9	87400000	87480120	3	29	5	 80.120	0.060	na	0.00000
